Episode,Turn,Player,Action,Reward,Cumulative_Reward
2,0,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,1,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
2,2,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
2,3,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
2,4,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,5,1,"Action(player=Player 1, type=ActionType.BUY, card=Silver)",0,0
2,6,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
2,7,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
2,8,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,9,1,"Action(player=Player 1, type=ActionType.BUY, card=Curse)",0,0
2,10,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
2,11,2,"Action(player=Player 2, type=ActionType.BUY, card=Moneylender)",0,0
2,12,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,13,1,"Action(player=Player 1, type=ActionType.BUY, card=Market)",0,0
2,14,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
2,15,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
2,16,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,17,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
2,18,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
2,19,2,"Action(player=Player 2, type=ActionType.BUY, card=Moneylender)",0,0
2,20,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,21,1,"Action(player=Player 1, type=ActionType.BUY, card=Laboratory)",0,0
2,22,2,"Action(player=Player 2, type=ActionType.PLAY, card=Moneylender)",0,0
2,23,2,"Action(player=Player 2, type=ActionType.BUY, card=Moneylender)",0,0
2,24,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,25,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
2,26,2,"Action(player=Player 2, type=ActionType.PLAY, card=Moneylender)",0,0
2,27,2,"Action(player=Player 2, type=ActionType.BUY, card=Estate)",0,0
2,28,1,"Action(player=Player 1, type=ActionType.PLAY, card=Laboratory)",0,0
2,29,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
2,30,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
2,31,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
