Episode,Turn,Player,Action,Reward,Cumulative_Reward
1,0,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,1,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
1,2,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,3,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
1,4,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,5,2,"Action(player=Player 2, type=ActionType.BUY, card=Moneylender)",0,0
1,6,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,7,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
1,8,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,9,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,10,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,11,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,12,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,13,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
1,14,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,15,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
1,16,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,17,2,"Action(player=Player 2, type=ActionType.BUY, card=Estate)",0,0
1,18,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,19,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
1,20,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,21,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
1,22,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,23,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
1,24,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,25,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
1,26,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,27,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,28,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,29,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,30,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
1,31,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,32,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,33,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,34,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,35,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,36,1,"Action(player=Player 1, type=ActionType.BUY, card=Curse)",0,0
1,37,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,38,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
1,39,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,40,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,41,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,42,2,"Action(player=Player 2, type=ActionType.BUY, card=Duchy)",0,0
1,43,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,44,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,45,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,46,1,"Action(player=Player 1, type=ActionType.BUY, card=Curse)",0,0
1,47,2,"Action(player=Player 2, type=ActionType.PLAY, card=Moneylender)",0,0
1,48,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
1,49,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,50,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,51,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,52,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,53,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,54,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,55,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,56,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,57,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,58,2,"Action(player=Player 2, type=ActionType.BUY, card=Village)",0,0
1,59,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,60,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
1,61,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,62,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
1,63,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,64,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
1,65,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,66,2,"Action(player=Player 2, type=ActionType.BUY, card=Moneylender)",0,0
1,67,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,68,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
1,69,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,70,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,71,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,72,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
1,73,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,74,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
1,75,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,76,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
1,77,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,78,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,79,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,80,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
1,81,2,"Action(player=Player 2, type=ActionType.PLAY, card=Village)",0,0
1,82,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,83,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,84,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,85,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
1,86,2,"Action(player=Player 2, type=ActionType.PLAY, card=Moneylender)",0,0
1,87,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
1,88,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,89,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,90,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
1,91,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,92,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,93,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,94,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
1,95,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
1,96,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
1,97,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
1,98,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
1,99,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
